date,feature_index,NO2
2023-08-28T00:00:00.000Z,0,3.004132052656601E-5
2023-08-30T00:00:00.000Z,0,3.548014439798382E-5
2023-08-24T00:00:00.000Z,0,4.420958783532486E-5
2023-08-23T00:00:00.000Z,0,2.864811880030946E-5
2023-08-27T00:00:00.000Z,0,3.6969712224255726E-5
2023-08-29T00:00:00.000Z,0,4.196679504578545E-5
2023-08-25T00:00:00.000Z,0,3.0078691381900338E-5
2023-08-26T00:00:00.000Z,0,3.3218241800828505E-5
2023-11-11T00:00:00.000Z,0,
2023-11-14T00:00:00.000Z,0,
2023-11-16T00:00:00.000Z,0,3.540427316428942E-5
2023-11-17T00:00:00.000Z,0,2.8133854062990658E-5
2023-11-18T00:00:00.000Z,0,2.1543771031783244E-5
2023-11-15T00:00:00.000Z,0,4.050218412885442E-5
2023-11-12T00:00:00.000Z,0,3.307106875018036E-5
2023-11-13T00:00:00.000Z,0,4.3427291626706375E-5
2023-12-06T00:00:00.000Z,0,3.361082884151509E-5
2023-12-10T00:00:00.000Z,0,
2023-12-11T00:00:00.000Z,0,2.002669094696918E-5
2023-12-09T00:00:00.000Z,0,2.6842074460592675E-5
2023-12-05T00:00:00.000Z,0,2.0595391809389473E-5
2023-12-08T00:00:00.000Z,0,3.026593644664091E-5
2023-12-07T00:00:00.000Z,0,2.8872608592747582E-5
2023-12-12T00:00:00.000Z,0,2.5604341093729417E-5
2024-02-18T00:00:00.000Z,0,2.0435806578936298E-5
2024-02-17T00:00:00.000Z,0,1.7597566284166533E-5
2024-02-22T00:00:00.000Z,0,1.6669424168917244E-5
2024-02-15T00:00:00.000Z,0,2.7322821399244995E-5
2024-02-21T00:00:00.000Z,0,2.1642835187321907E-5
2024-02-16T00:00:00.000Z,0,2.241023841100326E-5
2024-02-19T00:00:00.000Z,0,1.851725446222474E-5
2024-02-20T00:00:00.000Z,0,1.8657576478009474E-5
2024-06-11T00:00:00.000Z,0,3.378918153269778E-5
2024-06-08T00:00:00.000Z,0,3.4371012329107285E-5
2024-06-10T00:00:00.000Z,0,2.4214760612397057E-5
2024-06-12T00:00:00.000Z,0,3.0193985419068336E-5
2024-06-13T00:00:00.000Z,0,2.675841539133795E-5
2024-06-09T00:00:00.000Z,0,2.8458795151726175E-5
2024-06-06T00:00:00.000Z,0,2.7140190756621712E-5
2024-06-07T00:00:00.000Z,0,1.9806488857174654E-5
2022-12-01T00:00:00.000Z,0,1.862659749317339E-5
2022-11-25T00:00:00.000Z,0,1.841833730509279E-5
2022-11-30T00:00:00.000Z,0,2.012565277161283E-5
2022-11-27T00:00:00.000Z,0,
2022-11-29T00:00:00.000Z,0,1.373986038432026E-5
2022-11-24T00:00:00.000Z,0,2.272574639185959E-5
2022-11-26T00:00:00.000Z,0,
2022-11-28T00:00:00.000Z,0,
2023-01-23T00:00:00.000Z,0,1.729960621169215E-5
2023-01-22T00:00:00.000Z,0,1.378420454200453E-5
2023-01-25T00:00:00.000Z,0,
2023-01-26T00:00:00.000Z,0,
2023-01-24T00:00:00.000Z,0,2.6398356498728663E-5
2023-01-19T00:00:00.000Z,0,2.1241942123298133E-5
2023-01-21T00:00:00.000Z,0,2.0674402718120687E-5
2023-01-20T00:00:00.000Z,0,2.383900475790681E-5
2023-05-08T00:00:00.000Z,0,2.5197728682075813E-5
2023-05-03T00:00:00.000Z,0,3.2427825489493615E-5
2023-05-04T00:00:00.000Z,0,2.8678321359620896E-5
2023-05-06T00:00:00.000Z,0,2.0148108652999024E-5
2023-05-07T00:00:00.000Z,0,2.9444914343912387E-5
2023-05-05T00:00:00.000Z,0,3.155393269001874E-5
2023-05-09T00:00:00.000Z,0,2.918125392170623E-5
2023-05-10T00:00:00.000Z,0,2.1664755574117105E-5
2024-08-03T00:00:00.000Z,0,2.9959644860498786E-5
2024-08-04T00:00:00.000Z,0,2.8225789799534226E-5
2024-08-06T00:00:00.000Z,0,2.7472783936555892E-5
2024-08-05T00:00:00.000Z,0,3.211426142460175E-5
2024-08-02T00:00:00.000Z,0,3.692872342071496E-5
2024-08-08T00:00:00.000Z,0,3.7257002707823026E-5
2024-08-07T00:00:00.000Z,0,5.076344726451983E-5
2024-08-01T00:00:00.000Z,0,2.4430184566881508E-5
2024-12-20T00:00:00.000Z,0,1.6823877145229332E-5
2024-12-19T00:00:00.000Z,0,1.7862870808092643E-5
2024-12-22T00:00:00.000Z,0,
2024-12-15T00:00:00.000Z,0,2.6727655495051295E-5
2024-12-18T00:00:00.000Z,0,1.0188982430138692E-5
2024-12-17T00:00:00.000Z,0,
2024-12-21T00:00:00.000Z,0,3.402222366141224E-5
2024-12-16T00:00:00.000Z,0,
2025-05-03T00:00:00.000Z,0,2.3632700683415304E-5
2025-05-07T00:00:00.000Z,0,2.0798509151518374E-5
2025-04-30T00:00:00.000Z,0,
2025-05-06T00:00:00.000Z,0,3.0192769692668526E-5
2025-05-02T00:00:00.000Z,0,4.9058765880010254E-5
2025-05-04T00:00:00.000Z,0,2.7804104549523654E-5
2025-05-01T00:00:00.000Z,0,1.8275876280832954E-5
2025-05-05T00:00:00.000Z,0,2.3162858329282035E-5
2024-09-22T00:00:00.000Z,0,4.471171875290262E-5
2024-09-19T00:00:00.000Z,0,4.127205808887788E-5
2024-09-25T00:00:00.000Z,0,4.721709290606668E-5
2024-09-18T00:00:00.000Z,0,3.186095504775842E-5
2024-09-21T00:00:00.000Z,0,4.460415168335415E-5
2024-09-24T00:00:00.000Z,0,5.402781803590747E-5
2024-09-23T00:00:00.000Z,0,
2024-09-20T00:00:00.000Z,0,3.886136887145271E-5
2024-10-11T00:00:00.000Z,0,2.2691395647717927E-5
2024-10-07T00:00:00.000Z,0,3.3913494732232875E-5
2024-10-10T00:00:00.000Z,0,3.31869019125251E-5
2024-10-05T00:00:00.000Z,0,3.65189843128955E-5
2024-10-06T00:00:00.000Z,0,4.058846784841187E-5
2024-10-09T00:00:00.000Z,0,3.101558410784312E-5
2024-10-08T00:00:00.000Z,0,2.035607977678534E-5
2024-10-04T00:00:00.000Z,0,
2025-02-11T00:00:00.000Z,0,2.2566005630627235E-5
2025-02-12T00:00:00.000Z,0,1.5335358398260723E-5
2025-02-13T00:00:00.000Z,0,1.1024710147466976E-5
2025-02-10T00:00:00.000Z,0,
2025-02-14T00:00:00.000Z,0,
2025-02-15T00:00:00.000Z,0,1.656874956097454E-5
2025-02-09T00:00:00.000Z,0,
2025-02-16T00:00:00.000Z,0,1.6597978827803672E-5
2025-05-12T00:00:00.000Z,0,3.217760240659118E-5
2025-05-11T00:00:00.000Z,0,2.1064334892647214E-5
2025-05-10T00:00:00.000Z,0,2.3696712327364366E-5
2025-05-15T00:00:00.000Z,0,1.7986338348742314E-5
2025-05-14T00:00:00.000Z,0,2.5226250937311517E-5
2025-05-13T00:00:00.000Z,0,3.110438876774424E-5
2025-05-09T00:00:00.000Z,0,2.9833783401045366E-5
2025-05-08T00:00:00.000Z,0,1.68241327855867E-5
2022-07-02T00:00:00.000Z,0,1.9533288088534623E-5
2022-07-01T00:00:00.000Z,0,2.2700317953698502E-5
2022-06-28T00:00:00.000Z,0,2.3183681411891584E-5
2022-06-26T00:00:00.000Z,0,
2022-06-29T00:00:00.000Z,0,2.7608679439274717E-5
2022-06-25T00:00:00.000Z,0,
2022-06-27T00:00:00.000Z,0,1.9156208592355913E-5
2022-06-30T00:00:00.000Z,0,2.7393143080215095E-5
2024-03-19T00:00:00.000Z,0,1.8604849539424658E-5
2024-03-24T00:00:00.000Z,0,2.6759231883438306E-5
2024-03-21T00:00:00.000Z,0,
2024-03-18T00:00:00.000Z,0,1.590563679580252E-5
2024-03-23T00:00:00.000Z,0,
2024-03-25T00:00:00.000Z,0,2.6673021703454257E-5
2024-03-22T00:00:00.000Z,0,2.894489935756674E-5
2024-03-20T00:00:00.000Z,0,1.4959033119426332E-5
2025-04-20T00:00:00.000Z,0,
2025-04-14T00:00:00.000Z,0,2.005874557653442E-5
2025-04-19T00:00:00.000Z,0,3.365317057878494E-5
2025-04-15T00:00:00.000Z,0,
2025-04-18T00:00:00.000Z,0,
2025-04-16T00:00:00.000Z,0,2.813090586322799E-5
2025-04-17T00:00:00.000Z,0,2.549006372150457E-5
2025-04-21T00:00:00.000Z,0,
2023-03-18T00:00:00.000Z,0,2.8305329413507767E-5
2023-03-20T00:00:00.000Z,0,1.9822346075670794E-5
2023-03-19T00:00:00.000Z,0,2.8356617284381563E-5
2023-03-23T00:00:00.000Z,0,3.0081190790701057E-5
2023-03-22T00:00:00.000Z,0,2.6946491528887717E-5
2023-03-16T00:00:00.000Z,0,2.6363315213415148E-5
2023-03-21T00:00:00.000Z,0,2.1133657716455855E-5
2023-03-17T00:00:00.000Z,0,3.0220657093779032E-5
2023-04-11T00:00:00.000Z,0,1.171653729428263E-5
2023-04-12T00:00:00.000Z,0,2.187433515880107E-5
2023-04-09T00:00:00.000Z,0,1.727645113743477E-5
2023-04-10T00:00:00.000Z,0,1.2099400009901728E-5
2023-04-16T00:00:00.000Z,0,2.8778627419493812E-5
2023-04-13T00:00:00.000Z,0,
2023-04-15T00:00:00.000Z,0,2.3038963258795314E-5
2023-04-14T00:00:00.000Z,0,1.930998488250573E-5
2023-08-17T00:00:00.000Z,0,1.887724938184522E-5
2023-08-19T00:00:00.000Z,0,2.2902756523701284E-5
2023-08-20T00:00:00.000Z,0,2.5180409750876617E-5
2023-08-18T00:00:00.000Z,0,2.321549781174134E-5
2023-08-15T00:00:00.000Z,0,2.6050351660759787E-5
2023-08-21T00:00:00.000Z,0,3.425719531545596E-5
2023-08-16T00:00:00.000Z,0,2.6679057708240025E-5
2023-08-22T00:00:00.000Z,0,3.187370251597292E-5
2023-09-02T00:00:00.000Z,0,4.751923425822413E-5
2023-09-03T00:00:00.000Z,0,4.106283642051598E-5
2023-09-05T00:00:00.000Z,0,2.763737335587102E-5
2023-09-06T00:00:00.000Z,0,3.4757644381647094E-5
2023-09-01T00:00:00.000Z,0,2.9515829717209355E-5
2023-08-31T00:00:00.000Z,0,2.178190767466809E-5
2023-09-04T00:00:00.000Z,0,2.4399062418589372E-5
2023-09-07T00:00:00.000Z,0,2.8460782879957343E-5
2023-09-26T00:00:00.000Z,0,3.226418601652534E-5
2023-09-29T00:00:00.000Z,0,4.006318025361859E-5
2023-09-27T00:00:00.000Z,0,4.206950374331476E-5
2023-09-30T00:00:00.000Z,0,3.397278322537252E-5
2023-09-25T00:00:00.000Z,0,2.2983693979408838E-5
2023-09-28T00:00:00.000Z,0,4.3400088701594583E-5
2023-09-24T00:00:00.000Z,0,3.244832552616308E-5
2023-10-01T00:00:00.000Z,0,2.629217070609959E-5
2024-10-12T00:00:00.000Z,0,2.974068015395393E-5
2024-10-15T00:00:00.000Z,0,9.579608688779575E-6
2024-10-16T00:00:00.000Z,0,1.8683108395640087E-5
2024-10-19T00:00:00.000Z,0,3.515791169894462E-5
